DELITO,AÑO,BARRIO_MONTEVIDEO,geo,ratio,ingreso
ABIGEATO,2013,CENTRO,"POLYGON ((-56.18454440372493 -34.90636659320708, -56.184331531778554 -34.90821532099547, -56.19782146971815 -34.909211191257896, -56.20031297213715 -34.901072751484094, -56.18676404769446 -34.89897651382608, -56.18454440372493 -34.90636659320708))",4.31,108565.6117462588
ABIGEATO,2013,"COLON SURESTE, ABAYUBA","POLYGON ((-56.2201331811013 -34.80966115606656, -56.22249656779779 -34.78670547025469, -56.224004079216336 -34.78650338569331, -56.22772550168793 -34.76769641824607, -56.22114661866336 -34.765195278730864, -56.220948630515714 -34.762187783719384, -56.21808439980442 -34.75973761024436, -56.21947177806918 -34.75681575197179, -56.21215648745296 -34.746716101363134, -56.21200670720573 -34.743197777469526, -56.2082924452091 -34.74104086751965, -56.20319149775311 -34.730418148378746, -56.19327484442647 -34.72496446242197, -56.19165014901787 -34.72134415346907, -56.184428112268854 -34.72217900764541, -56.17489112885316 -34.719575663046, -56.1717742104099 -34.72945033370562, -56.16903773948756 -34.730949374337996, -56.16744989478249 -34.73506684352704, -56.16718565940557 -34.732131840009636, -56.1658397621672 -34.735526018735285, -56.167972586718584 -34.73645572183971, -56.16876165199307 -34.741484021729335, -56.1716789698619 -34.74533834283474, -56.171776431792175 -34.74971892201159, -56.17540160305245 -34.75149353055597, -56.176654354962 -34.755344036360384, -56.17932582103876 -34.756318658998225, -56.178315160648665 -34.76222173002977, -56.186305990474125 -34.76426379650903, -56.19039407505397 -34.76332928789233, -56.19393580453118 -34.767379043121466, -56.18821715131702 -34.77258289354703, -56.190846251586315 -34.77653006253647, -56.19152803111413 -34.789276502868724, -56.18475356088812 -34.796294995818556, -56.18664398838204 -34.80085078535583, -56.18438117071197 -34.80475873411839, -56.190222680619804 -34.802231137238635, -56.19462903079571 -34.80236948191984, -56.19971708650292 -34.80627444914475, -56.20090782726508 -34.807587006063976, -56.192423522942185 -34.81149888351933, -56.19624683680634 -34.81655282329878, -56.20921627547781 -34.80915024559994, -56.21299635496155 -34.81707115728357, -56.21984746485546 -34.81283418960224, -56.2201331811013 -34.80966115606656))",7.09,82703.9542170227
ABIGEATO,2013,"MANGA, TOLEDO CHICO","POLYGON ((-56.09484744519674 -34.763956577431436, -56.09728479169132 -34.76794187275203, -56.09998300068023 -34.76926460384522, -56.09834766264797 -34.7705618435115, -56.09855012057545 -34.77531889886602, -56.09578078357971 -34.77680125585739, -56.09457549262903 -34.775794598356796, -56.091838848370706 -34.77961324607852, -56.08823765878203 -34.7799746098398, -56.1178073388009 -34.79394408363227, -56.12010626583178 -34.79892830054786, -56.12508564715951 -34.80150395554575, -56.12743222401592 -34.79865009707121, -56.14393157315256 -34.800882174877536, -56.14278297078892 -34.80605452905969, -56.16449743782868 -34.80887487024851, -56.18347077744886 -34.82751472996801, -56.185459195843784 -34.82619542957104, -56.18525951557189 -34.82328696293367, -56.18756825538873 -34.82208512978419, -56.18784782751395 -34.819038245094426, -56.18567505810698 -34.81569191930857, -56.1858158209103 -34.812867402632996, -56.18349070230796 -34.81124133069273, -56.18565842244421 -34.808611441058005, -56.18273206522606 -34.80567067776441, -56.18664398838204 -34.80085078535583, -56.18475356088812 -34.796294995818556, -56.19152803111413 -34.789276502868724, -56.190846251586315 -34.77653006253647, -56.18824759701865 -34.77431643424499, -56.188326055710974 -34.77217244853669, -56.19393580453118 -34.767379043121466, -56.19039407505397 -34.76332928789233, -56.186305990474125 -34.76426379650903, -56.1782571498977 -34.76214076827569, -56.17932582103876 -34.756318658998225, -56.176654354962 -34.755344036360384, -56.17540160305245 -34.75149353055597, -56.171776431792175 -34.74971892201159, -56.1716789698619 -34.74533834283474, -56.16876165199307 -34.741484021729335, -56.167972586718584 -34.73645572183971, -56.16582004890251 -34.735467217616865, -56.166845318007375 -34.73067707349167, -56.161262021631835 -34.719400328410764, -56.15571819426864 -34.72180660168321, -56.149500329202915 -34.72001107040387, -56.14171106705795 -34.714056028882375, -56.13867871480517 -34.71426738666769, -56.13717878876577 -34.71620030140888, -56.12580312107479 -34.71770195643607, -56.122782805637215 -34.727432775264305, -56.1271737348516 -34.73614615386114, -56.12547821397353 -34.738040745194716, -56.122408055734894 -34.738203721919106, -56.12058412405704 -34.74072628096791, -56.119649939918034 -34.74903326268366, -56.115949325730526 -34.748319823324785, -56.107402686644654 -34.75151130880204, -56.104840186151094 -34.74969992889382, -56.10227912429613 -34.75068733649297, -56.0995496815848 -34.75298042603557, -56.09940175388026 -34.755989564076486, -56.095800675684956 -34.75626875269349, -56.09308437572035 -34.75984902878604, -56.09584622913908 -34.76233316680479, -56.09484744519674 -34.763956577431436))",4.07,68437.9176922507
ABIGEATO,2013,"MERCADO MODELO, BOLIVAR","POLYGON ((-56.17140425485098 -34.863728961574346, -56.168773508470466 -34.862651174234045, -56.16389758748162 -34.866951334586126, -56.15604897701298 -34.86194419787621, -56.153275121859764 -34.857547707076506, -56.1514889187266 -34.86200781806559, -56.152363992057495 -34.86987625818765, -56.147532723691384 -34.87459845224896, -56.15522148814085 -34.879298616012456, -56.159249823166135 -34.874041748475896, -56.16892522658002 -34.86864315385612, -56.171215931060914 -34.87202226197502, -56.173732909130926 -34.872209273421596, -56.1743865191842 -34.870333044229035, -56.173097756120875 -34.87014952769927, -56.17455054886969 -34.87023181264479, -56.1735949541763 -34.86911791540751, -56.175469251309075 -34.867218965747085, -56.17140425485098 -34.863728961574346))",6.12,85311.72596109984
ABIGEATO,2013,PASO DE LA ARENA,"POLYGON ((-56.35746791259482 -34.84747463692305, -56.34866439925248 -34.85189310264488, -56.35285251879488 -34.855705620153905, -56.35249980365055 -34.86436511136537, -56.353622529414274 -34.86722895470026, -56.35420422969821 -34.867579110405785, -56.35615069998789 -34.86579629441751, -56.35943377982286 -34.86697226256106, -56.36217152508149 -34.865482374187486, -56.36757393770532 -34.8657972783963, -56.36750532561701 -34.86301821023085, -56.377098760829284 -34.86074005097881, -56.37607504687999 -34.85816695069601, -56.38154059418673 -34.856132193639695, -56.3798250756126 -34.85284982651998, -56.388366901373544 -34.85013471557998, -56.38919710263989 -34.84622801443532, -56.39184458810995 -34.84460265594982, -56.39929414757691 -34.844095568881606, -56.40099804195818 -34.842086835448775, -56.40678547948182 -34.84240945854587, -56.41293663689033 -34.83969494927244, -56.416484042275755 -34.84020774596429, -56.42443049842285 -34.83775504207642, -56.42593117062531 -34.8354249582849, -56.42891459285422 -34.834871730361066, -56.42870924854371 -34.83089987104371, -56.43142469543747 -34.83017471368149, -56.43120285963013 -34.82824392598595, -56.426742933166274 -34.827273825544566, -56.42160831964796 -34.82260463314673, -56.417911851138584 -34.82237800965992, -56.41722431819499 -34.820065301291606, -56.413384865121216 -34.817468349679174, -56.409012975528306 -34.8168472087099, -56.40998786497708 -34.814894766626026, -56.40643818698208 -34.81506876927132, -56.406615659211894 -34.81147252335504, -56.40450433024925 -34.809859758243505, -56.40549127954244 -34.80798483096829, -56.39403076899988 -34.8043008577023, -56.38873823941947 -34.8007776610919, -56.38892378823095 -34.79804792640929, -56.36449125500684 -34.79893663819645, -56.362726491623796 -34.798475353858024, -56.36250386946967 -34.796047134720475, -56.35676280286219 -34.79451436305585, -56.356134593851024 -34.79329998789023, -56.35749022031 -34.79271115710287, -56.3549625337378 -34.790999670826885, -56.356340090995026 -34.78765870186068, -56.35417308193902 -34.78505549509119, -56.34745801031048 -34.787354542054615, -56.34518657879206 -34.78615467277622, -56.340042645829975 -34.78736104837998, -56.338244932343194 -34.783681644397426, -56.331738269756784 -34.78410446889025, -56.330498083923295 -34.78285627868845, -56.32934726318963 -34.78578901116648, -56.32597403016032 -34.784955954567785, -56.32449890988592 -34.78840147836027, -56.32099220800064 -34.789071610353865, -56.323016198132095 -34.79100067894785, -56.32170502909122 -34.79293769791239, -56.31862238551342 -34.79143312834507, -56.31955082452604 -34.79516766780269, -56.309954862597365 -34.79588528438057, -56.31083841796287 -34.79770678470346, -56.27138446077406 -34.81866038208807, -56.26910632752085 -34.82582796592405, -56.2640392891091 -34.8253835441943, -56.26236439198845 -34.823745779557136, -56.25951303480391 -34.827431330290025, -56.25535091495884 -34.82401151660454, -56.24859801171735 -34.82868910354553, -56.25302799985717 -34.83231703372403, -56.253789708312915 -34.835982032806825, -56.26382733165412 -34.83834004749276, -56.272395018372535 -34.836225235532076, -56.29077888972327 -34.851974254298035, -56.30080855862914 -34.85795361641435, -56.355623174791674 -34.829837771356104, -56.36556303416954 -34.84335245788978, -56.35746791259482 -34.84747463692305))",11.81,64797.83147903702
ABIGEATO,2014,COLON CENTRO Y NOROESTE,"POLYGON ((-56.23592313889082 -34.78700558503159, -56.235264856064184 -34.784326036453116, -56.230220374009086 -34.78110550347002, -56.2353272243405 -34.77971732724772, -56.22562430113373 -34.776791522258804, -56.224004079216336 -34.78650338569331, -56.22249656779779 -34.78670547025469, -56.220145444149985 -34.81963618757893, -56.230420793973565 -34.81344945461909, -56.233545999605916 -34.816804399709845, -56.2408518343355 -34.812807999941676, -56.23752812188758 -34.80705187031699, -56.23947090225246 -34.80676178898048, -56.24229466818488 -34.801308161236285, -56.23924488842263 -34.79960582443809, -56.23592313889082 -34.78700558503159))",3.3,89063.44717434824
ABIGEATO,2014,"COLON SURESTE, ABAYUBA","POLYGON ((-56.2201331811013 -34.80966115606656, -56.22249656779779 -34.78670547025469, -56.224004079216336 -34.78650338569331, -56.22772550168793 -34.76769641824607, -56.22114661866336 -34.765195278730864, -56.220948630515714 -34.762187783719384, -56.21808439980442 -34.75973761024436, -56.21947177806918 -34.75681575197179, -56.21215648745296 -34.746716101363134, -56.21200670720573 -34.743197777469526, -56.2082924452091 -34.74104086751965, -56.20319149775311 -34.730418148378746, -56.19327484442647 -34.72496446242197, -56.19165014901787 -34.72134415346907, -56.184428112268854 -34.72217900764541, -56.17489112885316 -34.719575663046, -56.1717742104099 -34.72945033370562, -56.16903773948756 -34.730949374337996, -56.16744989478249 -34.73506684352704, -56.16718565940557 -34.732131840009636, -56.1658397621672 -34.735526018735285, -56.167972586718584 -34.73645572183971, -56.16876165199307 -34.741484021729335, -56.1716789698619 -34.74533834283474, -56.171776431792175 -34.74971892201159, -56.17540160305245 -34.75149353055597, -56.176654354962 -34.755344036360384, -56.17932582103876 -34.756318658998225, -56.178315160648665 -34.76222173002977, -56.186305990474125 -34.76426379650903, -56.19039407505397 -34.76332928789233, -56.19393580453118 -34.767379043121466, -56.18821715131702 -34.77258289354703, -56.190846251586315 -34.77653006253647, -56.19152803111413 -34.789276502868724, -56.18475356088812 -34.796294995818556, -56.18664398838204 -34.80085078535583, -56.18438117071197 -34.80475873411839, -56.190222680619804 -34.802231137238635, -56.19462903079571 -34.80236948191984, -56.19971708650292 -34.80627444914475, -56.20090782726508 -34.807587006063976, -56.192423522942185 -34.81149888351933, -56.19624683680634 -34.81655282329878, -56.20921627547781 -34.80915024559994, -56.21299635496155 -34.81707115728357, -56.21984746485546 -34.81283418960224, -56.2201331811013 -34.80966115606656))",7.09,82703.9542170227
ABIGEATO,2014,"LA PALOMA, TOMKINSON","POLYGON ((-56.25579008530413 -34.87278149655167, -56.26292112879318 -34.874065633567206, -56.267082878766175 -34.87231736333301, -56.28575869036021 -34.87486505307518, -56.290415823654996 -34.85134051278194, -56.272395018372535 -34.836225235532076, -56.26520747150986 -34.838133122134884, -56.26612974721184 -34.842629008121534, -56.25914598550719 -34.84679926883175, -56.25751731889546 -34.85298899102994, -56.251722583735564 -34.85551832046987, -56.24915942184737 -34.85430736261458, -56.24823209693552 -34.856145370522306, -56.24954689501053 -34.857027700562504, -56.24643871204103 -34.858879348838265, -56.24783467197329 -34.861865428836154, -56.24319632986155 -34.86289786128801, -56.24447753394461 -34.86790967934424, -56.24835237229792 -34.870722449962024, -56.24732237361886 -34.87159729790315, -56.25579008530413 -34.87278149655167))",2.54,65962.0688309344
ABIGEATO,2014,"LEZICA, MELILLA","POLYGON ((-56.23743337180139 -34.791961669230886, -56.23924488842263 -34.79960582443809, -56.24229466818488 -34.801308161236285, -56.23947090225246 -34.80676178898048, -56.23752439678405 -34.80714790737786, -56.23961006033056 -34.8087984975278, -56.241882112085804 -34.81681803340778, -56.24483898702189 -34.81860656913477, -56.24926699732681 -34.81645461264906, -56.25700064576725 -34.81719040544955, -56.259227587591475 -34.82326373095234, -56.26899219011358 -34.82583913248621, -56.27138446077406 -34.81866038208807, -56.31083841796287 -34.79770678470346, -56.309954862597365 -34.79588528438057, -56.31959267283481 -34.79514046714026, -56.31862238551342 -34.79143312834507, -56.32170502909122 -34.79293769791239, -56.323016198132095 -34.79100067894785, -56.32082670904043 -34.789305524308645, -56.32449890988592 -34.78840147836027, -56.32568778927875 -34.78507174096533, -56.329173640454975 -34.78588792841108, -56.330436705387534 -34.78286066080334, -56.331738269756784 -34.78410446889025, -56.338244932343194 -34.783681644397426, -56.340042645829975 -34.78736104837998, -56.349403419921906 -34.78512319423172, -56.346724553604425 -34.784629895481814, -56.347067668969665 -34.78291542896676, -56.34210792465738 -34.77756357676032, -56.34690096034857 -34.75884985320667, -56.34261684951669 -34.7540416492915, -56.3417255502994 -34.74989573068956, -56.35359201675578 -34.727658777193994, -56.35260238484398 -34.72561851066688, -56.347174449334 -34.72170176672686, -56.34227707360154 -34.71346524623388, -56.335784737226476 -34.71566916476951, -56.329832829469765 -34.71058356579481, -56.324292119904804 -34.702079734766315, -56.31553341258282 -34.701817599838286, -56.31237314976163 -34.70481579178049, -56.3089967509569 -34.70324247682414, -56.308212042849135 -34.706147907551866, -56.30422254177273 -34.70679540999843, -56.297573087215156 -34.71225608688964, -56.29505282541977 -34.71796883617873, -56.29192471831555 -34.71919973466577, -56.28979322797897 -34.71821246802261, -56.28614981019736 -34.72358336231362, -56.28323165235901 -34.72396226350207, -56.279922058340965 -34.72692824710729, -56.2779583563396 -34.73846257897071, -56.27224578322213 -34.73970807654033, -56.27443710481369 -34.74444310281349, -56.27117650046473 -34.75010520228814, -56.26272255614834 -34.754395676135026, -56.25576759523159 -34.75403013200389, -56.24981779166166 -34.75902333447828, -56.243937853160574 -34.76020552829605, -56.23536282637803 -34.76501614190995, -56.232244892165305 -34.76974611356899, -56.22817585546661 -34.76911590983579, -56.22772550168793 -34.76769641824607, -56.22562430113373 -34.776791522258804, -56.2353272243405 -34.77971732724772, -56.230220374009086 -34.78110550347002, -56.235502648699935 -34.784577666225054, -56.23743337180139 -34.791961669230886))",5.94,72029.95704308827
ABIGEATO,2014,"MANGA, TOLEDO CHICO","POLYGON ((-56.09484744519674 -34.763956577431436, -56.09728479169132 -34.76794187275203, -56.09998300068023 -34.76926460384522, -56.09834766264797 -34.7705618435115, -56.09855012057545 -34.77531889886602, -56.09578078357971 -34.77680125585739, -56.09457549262903 -34.775794598356796, -56.091838848370706 -34.77961324607852, -56.08823765878203 -34.7799746098398, -56.1178073388009 -34.79394408363227, -56.12010626583178 -34.79892830054786, -56.12508564715951 -34.80150395554575, -56.12743222401592 -34.79865009707121, -56.14393157315256 -34.800882174877536, -56.14278297078892 -34.80605452905969, -56.16449743782868 -34.80887487024851, -56.18347077744886 -34.82751472996801, -56.185459195843784 -34.82619542957104, -56.18525951557189 -34.82328696293367, -56.18756825538873 -34.82208512978419, -56.18784782751395 -34.819038245094426, -56.18567505810698 -34.81569191930857, -56.1858158209103 -34.812867402632996, -56.18349070230796 -34.81124133069273, -56.18565842244421 -34.808611441058005, -56.18273206522606 -34.80567067776441, -56.18664398838204 -34.80085078535583, -56.18475356088812 -34.796294995818556, -56.19152803111413 -34.789276502868724, -56.190846251586315 -34.77653006253647, -56.18824759701865 -34.77431643424499, -56.188326055710974 -34.77217244853669, -56.19393580453118 -34.767379043121466, -56.19039407505397 -34.76332928789233, -56.186305990474125 -34.76426379650903, -56.1782571498977 -34.76214076827569, -56.17932582103876 -34.756318658998225, -56.176654354962 -34.755344036360384, -56.17540160305245 -34.75149353055597, -56.171776431792175 -34.74971892201159, -56.1716789698619 -34.74533834283474, -56.16876165199307 -34.741484021729335, -56.167972586718584 -34.73645572183971, -56.16582004890251 -34.735467217616865, -56.166845318007375 -34.73067707349167, -56.161262021631835 -34.719400328410764, -56.15571819426864 -34.72180660168321, -56.149500329202915 -34.72001107040387, -56.14171106705795 -34.714056028882375, -56.13867871480517 -34.71426738666769, -56.13717878876577 -34.71620030140888, -56.12580312107479 -34.71770195643607, -56.122782805637215 -34.727432775264305, -56.1271737348516 -34.73614615386114, -56.12547821397353 -34.738040745194716, -56.122408055734894 -34.738203721919106, -56.12058412405704 -34.74072628096791, -56.119649939918034 -34.74903326268366, -56.115949325730526 -34.748319823324785, -56.107402686644654 -34.75151130880204, -56.104840186151094 -34.74969992889382, -56.10227912429613 -34.75068733649297, -56.0995496815848 -34.75298042603557, -56.09940175388026 -34.755989564076486, -56.095800675684956 -34.75626875269349, -56.09308437572035 -34.75984902878604, -56.09584622913908 -34.76233316680479, -56.09484744519674 -34.763956577431436))",20.34,68437.9176922507
